"TheoremLabel","Assumptions","Method","Status","ScopeClass","SurrogateBlindSpots","CertificateArtifact","CounterexampleArtifact","RepresentativeModelFamily","NoApproximationQ","Source","Acceptance"
"def:2T-char","Finite-dimensional surrogate for the seven Main-facing interface clauses.","Exact association validation plus 3 valid and 3 invalid synthetic examples.","exact finite-dimensional certificate","schema-validator","Closedness is automatic/invisible at finite dimension. | Continuity of chi is automatic for finite-dimensional linear maps. | Hilbertizability is reduced to positive-definite matrix data, not the abstract completion statement.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task2Schema.ValidExamples","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task2Schema.InvalidExamples","valid_basic_identity, valid_nontrivial_gram, valid_zero_ambiguity; invalid_parity_tag, invalid_chi_on_ambiguity, invalid_positive_form",true,"Main/appendix_main.tex:535-586","3 valid accepted; 3 invalid rejected for the expected reason."
"thm:active-response-transport-minimal","Branchwise rho^dom, nu, Aminus, and Jdesc family on an accepted interval.","Resolve/Reduce on an exact polynomial branch model, connected-component audit, and broken-model hypothesis drops.","exact finite-dimensional certificate","exact-model-certificate","Continuity is certified only for the chosen exact model family. | The theorem is not universally proved for all admissible branches.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task3_5ActiveTransport.CertifiedModel","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task3_5ActiveTransport.BrokenModels","certified_polynomial_branch, broken_zero_sign_undefined, broken_jump_discontinuity, broken_ambiguity_not_in_kernel",true,"UOM/active_response_transport_program_note.tex:1821-1907",""
"thm:char-weak-interface","Transport theorem discharged; chi = nu^-1 rho^dom defines the weak Main export.","Exact export chi = nu^-1 rho^dom with affine constancy, sign-defined components, and ambiguity-leak counterexample.","exact finite-dimensional certificate","exact-model-certificate","The weak export is checked on exact branch models rather than universally.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task3_5ActiveTransport.CertifiedModel","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task3_5ActiveTransport.BrokenModels","certified_polynomial_branch with explicit broken hypothesis models",true,"UOM/canonical_odd_interface_note.tex:699-744",""
"prop:minimal-transport-calibration","chi, Jsharp, beta > 0, and a coercive form on ker chi.","Exact basis-aware ambient construction B = M^-T G M^-1 with coercive kernel metric.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Coercivity and Hilbertizability are represented by positive-definite finite matrices. | No infinite-dimensional completion is constructed.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task4Calibration.ValidExample","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task4Calibration.BrokenExamples","Exact basis-aware ambient calibration examples with broken-input countermodels",true,"UOM/active_response_transport_program_note.tex:1987-2056",""
"thm:finite-cutoff-Jcan","Weak 2T_char interface and a positive symmetric B on the affine class.","Exact affine projection with GA = U^T B U and Jcan = J0 + U a*.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Closed affine subspace and Hilbert projection are realized by finite-dimensional matrix algebra.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task5CanonicalRepresentative.ValidExample","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task5CanonicalRepresentative.BrokenExamples","Exact full-column-rank affine examples with rank/B/chi countermodels",true,"Main/appendix_main.tex:1787-1811",""
"prop:Jcan-orth","Finite-dimensional affine class and positive B.","Exact orthogonality, projector formula, and minimality-difference identity.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","The proof is finite-dimensional and does not replace the abstract Hilbert-space statement.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task5CanonicalRepresentative.ValidExample","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task5CanonicalRepresentative.BrokenExamples","Exact projector-model family with representative-shift checks",true,"Main/appendix_main.tex:1838-1870 (working sprint label)",""
"thm:dominant-quotient-descent","Dominant-response functional and ambiguity subspace on the finite-cutoff odd layer.","Exact quotient coordinates W, descended covector eta, and universal descent equivalences via Resolve.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Topological quotient continuity is represented by exact finite-dimensional linear maps. | Closure of the ambiguity span is not separately audited beyond the surrogate.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task6QuotientDescent.ValidExample","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task6QuotientDescent.BrokenExamples","Exact quotient-descent valid/broken model pair with nu != 1 obstruction witness",true,"UOM/active_response_transport_program_note.tex:504-525",""
"cor:dominant-quotient-constancy","Descended dominant functional on the ambiguity quotient and the affine descendant class.","Exact affine-class constancy and quotient-value reduction on J0 + Aminus.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","The quotient point [![Xi^(1)]!] is represented by exact coordinates rather than an abstract completion object.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task6QuotientDescent.ValidExample","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task6QuotientDescent.BrokenExamples","Exact affine descendant class with quotient-point scalar reduction",true,"UOM/active_response_transport_program_note.tex:444-468",""
"task:source-insertion-representability","Fixed-cutoff image-membership problem Pi_phys R(F_tau) = Pi_phys T[tau].","Exact image-membership solver for Pi_phys R(F_tau) = Pi_phys T[tau], with obstruction and gauge-space extraction.","finite-dimensional-theorem-certificate","finite-dimensional-theorem-certificate","Sufficient locality remains imported and is not identified with algebraic image membership. | Only fixed-cutoff linear realizability is audited here.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task7Representability.ValidExamples","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task7Representability.BrokenExamples","Exact representable unique/family examples plus an explicit obstruction example",true,"UOM/active_response_transport_program_note.tex:1260-1310",""
"task:witness-comparison-reduction","Representative search on J0 + Aminus versus scalar compatibility of dominant pairings.","Exact representative-search reduction to rho-level scalar compatibility, plus obstruction witness for the unscaled chi-level claim when nu != 1.","counterexample found","finite-dimensional-theorem-certificate","The notebook certifies the scalar reduction at fixed cutoff only. | The unscaled chi-compatibility claim fails unless an extra normalization hypothesis is added.","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task8WitnessComparison","/home/kray-l8/work/2T/Main/Mathematica/Certificates/CalibrationDependenceLane_Certificates.wl::Task8WitnessComparison.UnscaledChiCompatibilityWitness","Exact nu != 1 witness-comparison obstruction family",true,"UOM/active_response_transport_program_note.tex:1323-1371",""
