"TheoremLabel","Assumptions","Method","Status","ScopeClass","SurrogateBlindSpots","CertificateArtifact","CounterexampleArtifact","RepresentativeModelFamily","NoApproximationQ","Source","Acceptance"
"def:2T-char","Finite-dimensional surrogate for the seven Main-facing interface clauses.","Association schema + exact structural checks.","deferred","schema-validator","Closedness is automatic/invisible at finite dimension. | Continuity of chi is automatic for finite-dimensional linear maps. | Hilbertizability is reduced to positive-definite matrix data, not the abstract completion statement.","Deferred","Deferred","Synthetic finite-dimensional TickData examples",true,"Main/appendix_main.tex:535-586",""
"thm:active-response-transport-minimal","Branchwise rho^dom, nu, Aminus, and Jdesc family on an accepted interval.","Resolve/Reduce on exact branch models.","deferred","exact-model-certificate","Continuity is only audited for the chosen model family. | No abstract functional-analytic topology is represented beyond exact branch conditions.","Deferred","Deferred","Exact one-parameter branch models for rho^dom, nu, Aminus, Jdesc",true,"UOM/active_response_transport_program_note.tex:1821-1907",""
"thm:char-weak-interface","Transport theorem discharged; chi = nu^-1 rho^dom defines the weak Main export.","Exact export checks on symbolic branch models.","deferred","exact-model-certificate","Weak-interface export is checked on exact branch models, not universally for all admissible UOM branches.","Deferred","Deferred","Exact one-parameter branch export models",true,"UOM/canonical_odd_interface_note.tex:699-744",""
"prop:minimal-transport-calibration","chi, Jsharp, beta > 0, and a coercive form on ker chi.","Exact matrix decomposition and positivity certificates.","deferred","deferred","Coercivity is represented by a positive-definite kernel matrix Q. | Abstract Hilbertizability remains an imported interpretation.","Deferred","Deferred","To be assigned",true,"UOM/active_response_transport_program_note.tex:1987-2056",""
"thm:finite-cutoff-Jcan","Weak 2T_char interface and a positive symmetric ambient bilinear form B on E^- whose restriction is minimized on the affine class.","Exact linear algebra + projection formula.","deferred","deferred","Closed affine subspace is automatic in the finite-dimensional surrogate. | Hilbert projection theorem is realized by matrix algebra rather than abstract analysis.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:1787-1811",""
"prop:Jcan-orth","Finite-dimensional affine class and positive B.","Exact orthogonality/minimality equivalence.","deferred","deferred","The finite-dimensional proof does not reprove the abstract Hilbert projection theorem.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:1838-1870 (working sprint label)",""
"thm:dominant-quotient-descent","Dominant-response functional and ambiguity subspace on the finite-cutoff odd layer.","Exact quotient descent and coset-constancy checks.","deferred","deferred","Quotient continuity is represented by finite-dimensional linear algebra. | Closure of the ambiguity space is still only represented by the finite-dimensional surrogate.","Deferred","Deferred","To be assigned",true,"UOM/active_response_transport_program_note.tex:504-525",""
"cor:dominant-quotient-constancy","Descended dominant functional on the ambiguity quotient and the affine descendant class.","Exact affine-class constancy via quotient coordinates.","deferred","deferred","The quotient point [![Xi^(1)]!] is represented only in finite-dimensional coordinates.","Deferred","Deferred","To be assigned",true,"UOM/active_response_transport_program_note.tex:444-468",""
"task:source-insertion-representability","Fixed-cutoff image-membership problem Pi_phys R(F_tau) = Pi_phys T[tau].","Exact linear solver with obstruction and gauge analysis.","deferred","deferred","Sufficient locality remains imported and is not identified with algebraic image membership.","Deferred","Deferred","To be assigned",true,"UOM/active_response_transport_program_note.tex:1260-1310",""
"task:witness-comparison-reduction","Representative search on J0 + Aminus versus scalar compatibility of dominant pairings.","Exact affine representative-search reduction and obstruction hunting.","deferred","deferred","The reduction is audited at fixed cutoff and may still require a normalization hypothesis.","Deferred","Deferred","To be assigned",true,"UOM/active_response_transport_program_note.tex:1323-1371",""
"task:Jcan-branch-regularity","Rational or polynomial branch data U(lambda), B(lambda), J0(lambda) with invertible Gram block.","Exact rational-function regularity audit for the projector formula.","deferred","deferred","Only rational/polynomial finite-cutoff branch data are audited.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:1837-1870 plus finite-dimensional projector formula remark",""
"task:calibration-comparison","Two admissible positive calibrations B1, B2 on the same affine class J0 + im(U).","Exact projector comparison and visibility-map invariance tests.","deferred","deferred","Physical invisibility is represented by exact finite-dimensional visible maps killing Aminus. | No infinite-dimensional physical-sector semantics are built here.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:1787-1917 plus WL calibration-comparison lane",""
"task:ambiguity-trivial-on-physical-sector","Odd generator shift J -> J + A with A in Aminus on an explicit bracket model.","Exact proof that ad_A vanishes on the physical sector.","deferred","deferred","Only explicit finite-dimensional bracket models are audited.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2055-2140 plus WL ambiguity-physical-sector lane",""
"task:ambiguity-trivial-mod-null-ideal","Odd generator shift J -> J + A with A in Aminus on an explicit bracket model with a physical null ideal.","Exact proof that ad_A lands in the physical null ideal while remaining nonzero.","deferred","deferred","The physical null ideal is represented by an explicit finite-dimensional subspace.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2055-2140 plus WL ambiguity-physical-sector lane",""
"task:ambiguity-physically-visible","Odd generator shift J -> J + A with A in Aminus on an explicit bracket model.","Exact countermodel where ad_A survives on the physical sector outside the null ideal.","deferred","deferred","Physical visibility is shown only on explicit bracket models.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2055-2140 plus WL ambiguity-physical-sector lane",""
"task:class-defined-physical-derivation","Physical sector, physical null ideal, and ambiguity directions on an explicit bracket model.","Exact quotient test for representative-independence modulo the null ideal.","deferred","deferred","The physical quotient is represented by an explicit finite-dimensional null-ideal quotient. | No abstract AQFT/HLS quotient construction is attempted.","Deferred","Deferred","To be assigned",true,"Main/appendix_main.tex:2055-2140 plus WL class-defined-derivation lane",""
"task:strict-boundary-record-invariance","Boundary readout on the strict record sector D_A ⊗ 1_B with classical ledger projectors on A.","Exact symbolic proof that BoundaryReadout([X,O]) vanishes on the strict record sector.","deferred","deferred","The readout is the exact finite-dimensional pinch_A after partial trace over B. | Approximate end-of-aeon classicality is idealized as exact ledger diagonality.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:643-792 plus WL boundary-sector lane",""
"task:controlled-boundary-reduction","Controlled boundary observables Sum_i Pi^(A) ⊗ O_i^(B) and a general ambiguity operator K on A ⊗ B.","Exact symbolic reduction of controlled-projected commutators to diagonal controlled B-block commutators.","deferred","deferred","The theorem is proved on explicit finite matrix algebras with rank-one ledger projectors. | No infinite-dimensional completion or AQFT/HLS controlled sector is constructed.","Deferred","Deferred","To be assigned",true,"UOM/summability_split_note.tex:743-792 plus WL boundary-sector lane",""
